samples - プロット0	value - プロット0	
392	0.0414997	
393	0.0213593	
394	0.000565222	
395	0.979119	
396	0.957021	
397	0.934274	
398	0.910878	
399	0.886834	
400	0.862145	
401	0.83681	
402	0.810832	
403	0.784212	
404	0.756951	
405	0.729049	
406	0.700509	
407	0.671332	
408	0.641519	
409	0.611071	
410	0.579988	
411	0.548274	
412	0.515928	
413	0.482953	
414	0.449348	
415	0.415116	
416	0.380258	
417	0.344775	
418	0.308668	
419	0.271938	
420	0.234587	
421	0.196615	
422	0.158025	
423	0.118816	
424	0.0789915	
425	0.0385511	
426	0.997496	
427	0.955829	
428	0.91355	
429	0.87066	
430	0.82716	
431	0.783053	
432	0.738338	
433	0.693018	
434	0.647093	
435	0.600564	
436	0.553433	
437	0.505701	
438	0.457369	
439	0.408438	
440	0.35891	
441	0.308785	
442	0.258065	
443	0.206751	
444	0.154844	
445	0.102345	
446	0.0492562	
447	0.995578	
448	0.941311	
449	0.886456	
450	0.831016	
451	0.774992	
452	0.718383	
453	0.661192	
454	0.60342	
455	0.545067	
456	0.486135	
457	0.426626	
458	0.366539	
459	0.305877	
460	0.244641	
461	0.182831	
462	0.120449	
463	0.0574955	
464	0.993972	
465	0.92988	
466	0.86522	
467	0.799994	
468	0.734202	
469	0.667845	
470	0.600925	
471	0.533444	
472	0.465401	
473	0.396798	
474	0.327636	
475	0.257917	
476	0.187641	
477	0.116809	
478	0.0454233	
479	0.973484	
480	0.900993	
481	0.82795	
482	0.754357	
483	0.680216	
484	0.605526	
485	0.53029	
486	0.454509	
487	0.378182	
488	0.301312	
489	0.2239	
490	0.145946	
491	0.0674522	
492	0.988419	
493	0.908848	
494	0.828739	
495	0.748095	
496	0.666916	
497	0.585203	
498	0.502957	
499	0.420179	
500	0.336871	
501	0.253033	
502	0.168667	
503	0.0837728	
504	0.998352	
505	0.912407	
506	0.825937	
507	0.738943	
508	0.651428	
509	0.563391	
510	0.474834	
511	0.385758	
512	0.296163	
513	0.206052	
514	0.115425	
515	0.0242823	
516	0.932626	
517	0.840457	
518	0.747776	
519	0.654584	
520	0.560882	
521	0.466671	
522	0.371953	
523	0.276728	
524	0.180997	
525	0.0847612	
526	0.988022	
527	0.890779	
528	0.793036	
529	0.694791	
530	0.596047	
531	0.496803	
532	0.397063	
533	0.296825	
534	0.196092	
535	0.0948641	
536	0.993142	
537	0.890928	
538	0.788222	
539	0.685026	
540	0.581339	
541	0.477164	
542	0.372501	
543	0.267351	
544	0.161715	
545	0.0555946	
546	0.94899	
547	0.841903	
548	0.734334	
549	0.626284	
550	0.517754	
551	0.408745	
552	0.299258	
553	0.189294	
554	0.0788535	
555	0.967938	
556	0.856549	
557	0.744686	
558	0.632351	
559	0.519545	
560	0.406268	
561	0.292522	
562	0.178308	
563	0.0636259	
564	0.948477	
565	0.832863	
566	0.716785	
567	0.600242	
568	0.483237	
569	0.36577	
570	0.247842	
571	0.129454	
572	0.010607	
573	0.891302	
574	0.77154	
575	0.651321	
576	0.530648	
577	0.409519	
578	0.287938	
579	0.165903	
580	0.0434177	
581	0.920481	
582	0.797095	
583	0.67326	
584	0.548976	
585	0.424246	
586	0.29907	
587	0.173449	
588	0.0473826	
589	0.920873	
590	0.793921	
591	0.666528	
592	0.538694	
593	0.41042	
594	0.281707	
595	0.152556	
596	0.0229682	
597	0.892944	
598	0.762484	
599	0.63159	
600	0.500263	
601	0.368502	
602	0.23631	
603	0.103687	
604	0.970634	
605	0.837152	
606	0.703242	
607	0.568904	
608	0.434139	
609	0.298949	
610	0.163334	
611	0.0272957	
612	0.890834	
613	0.75395	
614	0.616645	
615	0.478919	
616	0.340773	
617	0.20221	
618	0.0632275	
619	0.923829	
620	0.784014	
621	0.643783	
622	0.503138	
623	0.36208	
624	0.220609	
625	0.0787254	
626	0.936431	
627	0.793727	
628	0.650613	
629	0.507091	
630	0.363161	
631	0.218824	
632	0.0740811	
633	0.928933	
634	0.783381	
635	0.637425	
636	0.491066	
637	0.344306	
638	0.197144	
639	0.0495826	
640	0.901622	
641	0.753262	
642	0.604505	
643	0.45535	
644	0.3058	
645	0.155854	
